title,description,category,is_coherent
"Unauthorized structure at New Market","Encroachment issue in New Market: unauthorized structure is affecting public access and is completely broken.","encroachment","1"
"Urgent: Unauthorized structure on Park Road","Public space encroachment in Park Road due to unauthorized structure which is extremely poor.","encroachment","1"
"free vacation giveaway","best offer for you click here","spam","0"
"Street light on during day - Shopping Complex","Multiple street lights on Shopping Complex are extremely poor making it unsafe for pedestrians.","street-lighting","1"
"Problem with loose electrical wires on Sadar Bazar","The electricity problem in Sadar Bazar is not working. We have no power for a week.","electricity","1"
"Fogging required on Gandhi Nagar","Health department needed in Gandhi Nagar for fogging required which is not working.","health","1"
"Issue: Unauthorized stalls at Housing Society","There is a large unauthorized stalls on Housing Society that is causing traffic issues and not working.","road-transportation","1"
"Burst water main at Medical College","We have been facing burst water main in Medical College since morning. The situation is extremely poor.","water-supply","1"
"Overflowing drain at Old City","The sewage system in Old City needs attention. overflowing drain is extremely poor.","drainage","1"
"zxcvbnm qwerty","abcd efgh ijkl mnop","spam","0"
"Complaint about non-sweeping of road near Temple Street","The area near Temple Street is very dirty due to non-sweeping of road. It's been like this since last week.","sanitation","1"
"Road encroachment - City Center","Public space encroachment in City Center due to road encroachment which is leaking badly.","encroachment","1"
"Unauthorized water tapping at City Center","Water supply problem in City Center: unauthorized water tapping is leaking badly and affecting the entire area.","water-supply","1"
"Complaint about loudspeaker without permission near College Road","Noise pollution in College Road due to loudspeaker without permission is not working and disturbing residents.","noise-pollution","1"
"Problem with power cut on Gandhi Nagar","The electricity problem in Gandhi Nagar is very dirty. We have no power for 4 days.","electricity","1"
"best deal ever","click this link for a surprise","spam","0"
"Loud speaker complaint - Market Square","Sound pollution issue in Market Square: loud speaker complaint is extremely poor and affecting peace.","noise-pollution","1"
"Industrial noise on City Center","Sound pollution issue in City Center: industrial noise is extremely poor and affecting peace.","noise-pollution","1"
"Problem with footpath encroachment on Civil Lines","There is footpath encroachment in Civil Lines which is completely broken and blocking public space.","encroachment","1"
"Complaint about power cut near Temple Street","Power supply issue in Temple Street: power cut has made the situation making noise.","electricity","1"
"Industrial waste dumping","A factory is illegally dumping chemical waste in the open ground behind residential area.","sanitation","1"
"Issue: Stray dogs in garbage area at Nehru Park","The garbage situation in Nehru Park is completely broken. Stray dogs in garbage area hasn't been addressed for 4 days.","sanitation","1"
"nothing here","random text here nothing important","spam","0"
"Problem with uneven pavement on Civil Lines","There is a major uneven pavement on Civil Lines that is causing traffic issues and partially damaged.","road-transportation","1"
"Construction material on road at New Market","The road condition on New Market is very poor with construction material on road that is very dirty.","road-transportation","1"
"Complaint about low water pressure near Old City","The water pressure in Old City is extremely low and leaking badly. We cannot fill our tanks.","water-supply","1"
"Issue: Water shortage at Market Square","The water supply issue on Market Square is not working. We urgently need a solution.","water-supply","1"
"spam spam spam","no actual complaint here","spam","0"
"Complaint about unauthorized structure near Railway Station","Public space encroachment in Railway Station due to unauthorized structure which is leaking badly.","encroachment","1"
"Damaged bench on Shanti Nagar","There is a safety hazard in Shanti Nagar park due to damaged bench which is partially damaged.","parks-recreation","1"
"nothing here","free gift waiting for you","spam","0"
"Issue: No maintenance at Bus Stand","The recreational facilities in Bus Stand are in poor condition with no maintenance that is overflowing.","parks-recreation","1"
"Missing street light at Park Road","Street light problem on Park Road: missing street light is making noise since yesterday.","street-lighting","1"
"Manhole cover missing near Model Town","The sewage system in Model Town needs attention. manhole cover missing is completely broken.","drainage","1"
"Damaged fountain - Hospital Road","The playground equipment in Hospital Road park is extremely poor. The damaged fountain is dangerous for children.","parks-recreation","1"
"Issue: Speed breaker damage at Housing Society","The road condition on Housing Society is very poor with speed breaker damage that is extremely poor.","road-transportation","1"
"random text","not a real complaint","spam","0"
"test message","random words without meaning","spam","0"
"Unauthorized shop at Model Town","The unauthorized activity in Model Town with unauthorized shop is not working since morning.","encroachment","1"
